",",Vessel Name,Flag,Built Year,Build Shipyard,Last DD,Next DD,Special Survey,IMO No,Call Sign,Class,Satellite,Charterer,Delivery Re-delivery,Vessel Mail Address,FBB TEL ,VSAT TEL,Mobile Phone,Radio Terminal,Marine Superintendent,Technical Superintendent,Purchasing Specialists,Crewing Specialists,Chartering Speaclist,Operation Specialist,,,,
1,APRIL,Panama,2007,NAMURA SHIPBUILDING,11-07-23,10-07-26,10-07-28,9384916,3E5840,NK,Navarino,"SSANGYONG 
━━━━━━
2027-04-07",,april@infinitymail.eu,+870 773070166,+44 2037699594,+90 543 349 84 02,Marlink,Onur BENZET,Kadir GÜMÜŞ,Kerem DALKIRAN,S. Beril TOZAN,Ahmet HAMZAOĞLU,Ferhat SOLMAZ,,,,
2,ARES,Panama,2005,UNIVERSAL SHIPBUILDING,11-05-25,11-05-28,10-03-30,9290593,3E5843,RINA,Ozsay,"DEYESION 
━━━━━━
2026-06-11",,mvares@skyfile.com,+870 773947887,+47 22406828           +47 22406829,+90 543 349 86 79,Marlink,Onur BENZET,Deniz İLİMSEVER,Kerem DALKIRAN,Emirhan AYDOGDU,Can SARIHAN,Ferhat SOLMAZ,,,,
3,BEAM,Barbados,2011,SUNGDONG SHIPBUILDING,09-05-21,19-04-26,19-04-26,9591741,8P2226,RINA,Navarino,"SOLAR 
━━━━━━
2026-05-18",,beam@infinitymail.eu,+870 773068904,+44 1809579308,+90 543 349 86 94,Otesat,Onur BENZET,O. Burak YILDIRIM,Kerem DALKIRAN,Cagatay AKBAS,Batuhan BOZKIR,Ferhat SOLMAZ,,,,
4,CANAL,Barbados,2012,HYUNDAI HEAVY INDUSTRIES,03-07-22,29-04-27,29-04-27,9573115,8P2362,RINA,Navarino,"DEYESION 
━━━━━━
2026-05-20",,canal@infinitymail.eu,+870 773068422,+44 1250357036 ,+90 543 349 87 93,Otesat,Oktay KARAN,O. Burak YILDIRIM,Goksen COSKUN,Emirhan AYDOGDU,Can SARIHAN,Ferhat SOLMAZ,,,,
5,COMET,Barbados,2004,IMABARI SHIPBUILDING,16-03-23,13-01-26,13-10-27,9314090,8P2224,RINA,Navarino,"DEYESION 
━━━━━━
2027-02-28",,comet@infinitymail.eu,+870 771360506      +870 773066236,+44 1248562092  ,+90 543 349 85 06,Otesat,Oktay KARAN,O. Burak YILDIRIM,Irem Ozkan,Görkem CELIK,Ahmet HAMZAOĞLU,Hasan TOPÇU,,,,
6,DALI,Barbados,2005,NAMURA SHIPBUILDING,08-06-23,08-09-26,08-06-28,9279874,8P2228,RINA,Anka,"SOLAR
━━━━━━
2027-03-20",,dali@vesselsat.com,+870 773912657,+44 1342656062,-,Otesat,Onur BENZET,O. Burak YILDIRIM,Irem Ozkan,Emirhan AYDOGDU,Can SARIHAN,Ferhat SOLMAZ,,,,
7,DODO,Panama,2006,NAMURA SHIPBUILDING,12-12-24,11-12-27,11-12-29,9336024,3E5841,NK,Ozsay,"DEYESION
━━━━━━
2027-02-15",,dodo@skyfile.com,N/A,+47 24136721              +47 24136720,+90 543 349 87 51 ,Marlink,Erdem GUR,Deniz İLİMSEVER,Lokman H. SIRIN,Emirhan AYDOGDU,Ahmet HAMZAOĞLU,Hasan TOPÇU,,,,
8,DREAM,Barbados,2012,SPP SHIPBUILDING,11-04-22,15-03-27,15-03-27,9628116,8P2227,RINA,Navarino,"KISAMOS 
━━━━━━
2026-04-24",,dream@infinitymail.eu,+870 773061217,+44 2080892461,+90 546 523 69 72,Otesat,Oktay KARAN,Kadir GÜMÜŞ,Kerem DALKIRAN,Görkem CELIK,Ahmet HAMZAOĞLU,Hasan TOPÇU,,,,
9,FAUN,Barbados,2015,YANGFAN GROUP,05-01-21,21-10-25,21-10-25,9748239,8P2248,RINA,Navarino,"ULTIMAR
━━━━━━
2026-05-15",,faun@infinitymail.eu,+870 773060983,+44 1665529394,+90 543 349 86 98,Otesat,Oktay KARAN,Deniz İLİMSEVER,Goksen COSKUN,S. Beril TOZAN,Batuhan BOZKIR,Hasan TOPÇU,,,,
10,FLAT,Barbados,2016,YANGFAN GROUP,22-09-20,21-09-25,21-09-25,9748241,8P2229,RINA,Navarino,"HANSON 
━━━━━━
2027-02-15",,flat@infinitymail.eu,+870 773060736 ,+44 2897178048,+90 543 349 84 77,Otesat,Erdem GUR,Kadir GÜMÜŞ,Goksen COSKUN,Görkem CELIK,Can SARIHAN,Hasan TOPÇU,,,,
